"","PhyloSor","PhyloSor_turn","PhyloSor_PD","UniFrac","UniFrac_turn","UniFrac_PD","SES_PhyloSor","SES_PhyloSor_turn","SES_PhyloSor_PD","SES_UniFrac","SES_UniFrac_turn","SES_UniFrac_PD"
"Ecrins NP-Summits",0.494474042476839,0,0.494474042476839,0.661736541984137,0,0.661736541984137,5.03471105456765,NA,5.03471105456765,4.79350444148845,NA,4.79350444148845
"Ecrins NP-Persistent",0.588915248247663,0,0.588915248247663,0.741279623185879,0,0.741279623185879,6.56258423943485,NA,6.56258423943485,6.12759132029403,NA,6.12759132029403
"Ecrins NP-Under Ice",0.648497472799469,0,0.648497472799469,0.786773996927268,0,0.786773996927268,3.65588387004329,NA,3.65588387004329,3.52819489738378,NA,3.52819489738378
"Ecrins NP-Plat de la Selle",0.829149479109902,0,0.829149479109902,0.90659564850149,0,0.90659564850149,3.05903908146958,NA,3.05903908146958,2.98537973561144,NA,2.98537973561144
"Ecrins NP-Barre des Ecrins",0.804926483476588,0,0.804926483476588,0.89192162766227,0,0.89192162766227,3.33501710933523,NA,3.33501710933523,3.23425498454527,NA,3.23425498454527
"Ecrins NP-La Meije",0.816766044481393,0,0.816766044481393,0.899142789422337,0,0.899142789422337,3.22759756058788,NA,3.22759756058788,3.13788299344708,NA,3.13788299344708
"Ecrins NP-Sirac",0.723797571505917,0,0.723797571505917,0.839770960894909,0,0.839770960894909,4.56629143818361,NA,4.56629143818361,4.36415697209239,NA,4.36415697209239
"Ecrins NP-Rouies",0.79191848936093,0,0.79191848936093,0.88387780366434,0,0.88387780366434,2.63448731549107,NA,2.63448731549107,2.57564681029891,NA,2.57564681029891
"Ecrins NP-Olan",0.692966521323986,0,0.692966521323986,0.818641730472084,0,0.818641730472084,0.939375005739229,NA,0.939375005739229,0.94052032016097,NA,0.94052032016097
"Ecrins NP-Pelvoux",0.828849021600704,0,0.828849021600704,0.906416015549772,0,0.906416015549772,-2.26741655045401,NA,-2.26741655045401,-2.28783633559217,NA,-2.28783633559217
"Ecrins NP-Occidentale Ailefroide",0.822349903264981,0,0.822349903264981,0.902515923853737,0,0.902515923853737,2.00756714703921,NA,2.00756714703921,1.97866730148956,NA,1.97866730148956
"Ecrins NP-Brevoort",0.894086409834096,0,0.894086409834096,0.944081964995894,0,0.944081964995894,0.802129356995971,NA,0.802129356995971,0.802741066709761,NA,0.802741066709761
"Ecrins NP-Burlan",0.807230587457366,0,0.807230587457366,0.893334357065168,0,0.893334357065168,2.09848727634989,NA,2.09848727634989,2.06775981641905,NA,2.06775981641905
"Ecrins NP-Rocher de la Selle",0.571344872027329,0,0.571344872027329,0.72720493406414,0,0.72720493406414,3.94582733629572,NA,3.94582733629572,3.78187664034123,NA,3.78187664034123
"Ecrins NP-Choisy",0.86879998450263,0,0.86879998450263,0.929794511673068,0,0.929794511673068,1.48924211446434,NA,1.48924211446434,1.47772055402255,NA,1.47772055402255
"Ecrins NP-Muraillette",0.744602567664604,0,0.744602567664604,0.853607098218776,0,0.853607098218776,3.74222989126766,NA,3.74222989126766,3.60954977138041,NA,3.60954977138041
"Ecrins NP-Rateau",0.658949406285904,0,0.658949406285904,0.794417724602193,0,0.794417724602193,3.83711780201623,NA,3.83711780201623,3.68778176210068,NA,3.68778176210068
"Ecrins NP-Lauvitel",0.684223940005348,0,0.684223940005348,0.812509457623759,0,0.812509457623759,4.75557083480647,NA,4.75557083480647,4.51454101155884,NA,4.51454101155884
"Summits-Persistent",0.133241599790378,0,0.133241599790378,0.235151268388002,0,0.235151268388002,3.96540701744416,NA,3.96540701744416,3.81315289013925,NA,3.81315289013925
"Summits-Under Ice",0.22672682574263,0,0.22672682574263,0.369645174434618,0,0.369645174434618,0.292460144684017,NA,0.292460144684014,0.308864841601573,NA,0.308864841601573
"Summits-Plat de la Selle",0.567239671618831,0,0.567239671618831,0.723870996747956,0,0.723870996747956,0.826130414510943,NA,0.826130414510943,0.829403297428684,NA,0.829403297428684
"Summits-Barre des Ecrins",0.515714795307847,0,0.515714795307847,0.680490547303925,0,0.680490547303925,1.15131080024173,NA,1.15131080024173,1.14281952488611,NA,1.14281952488611
"Summits-La Meije",0.540640111973314,0,0.540640111973314,0.701838291462943,0,0.701838291462943,1.08966279583196,NA,1.08966279583195,1.08503228382459,NA,1.08503228382459
"Summits-Sirac",0.357145633964423,0,0.357145633964423,0.526318804741902,0,0.526318804741902,1.93883600992353,NA,1.93883600992353,1.88988088761891,NA,1.88988088761891
"Summits-Rouies",0.488882647488578,0,0.488882647488578,0.656710786861835,0,0.656710786861835,0.182314009234983,NA,0.182314009234981,0.199608895179346,NA,0.199608895179346
"Summits-Olan",0.30196040729403,0,0.30196040729403,0.463854976852359,0,0.463854976852359,-2.24735482452664,NA,-2.24735482452664,-2.33103016252322,NA,-2.33103016252322
"Summits-Pelvoux",0.566587756473391,0,0.566587756473391,0.723339952239713,0,0.723339952239713,-4.83296039814068,NA,-4.83296039814068,-5.15285422310935,NA,-5.15285422310935
"Summits-Occidentale Ailefroide",0.552566252228094,0,0.552566252228094,0.711810206405174,0,0.711810206405174,-0.328499096553562,NA,-0.328499096553562,-0.312052117791243,NA,-0.312052117791243
"Summits-Brevoort",0.716282798689014,0,0.716282798689014,0.834690878724821,0,0.834690878724821,-1.2302579740933,NA,-1.23025797409331,-1.23389648015282,NA,-1.23389648015282
"Summits-Burlan",0.520527460636241,0,0.520527460636241,0.684666964736611,0,0.684666964736611,-0.308501337340329,NA,-0.308501337340329,-0.29171214685548,NA,-0.29171214685548
"Summits-Rocher de la Selle",0.107139315652808,0,0.107139315652808,0.193542608663726,0,0.193542608663726,-0.038182082694098,NA,-0.0381820826941025,-0.0243618363447816,NA,-0.0243618363447816
"Summits-Choisy",0.656250547536045,0,0.656250547536045,0.79245322938891,0,0.79245322938891,-0.58984502958707,NA,-0.58984502958707,-0.578678024447761,NA,-0.578678024447761
"Summits-Muraillette",0.395889896740382,0,0.395889896740382,0.567222239611944,0,0.567222239611944,1.05965256768222,NA,1.05965256768222,1.05649603784973,NA,1.05649603784973
"Summits-Rateau",0.24396841689872,0,0.24396841689872,0.392242139887998,0,0.392242139887998,0.6462215488043,NA,0.6462215488043,0.657431145697845,NA,0.657431145697845
"Summits-Lauvitel",0.286774642755313,0,0.286774642755313,0.445726288390724,0,0.445726288390724,1.97422787383777,NA,1.97422787383776,1.92757086436441,NA,1.92757086436441
